link,text,user,date,is_retweet,comments,retweets,quotes,likes,images,video,gifs,topic
https://twitter.com/RyanVoutilainen/status/1576687028678590464#m,"A video to give a sense as to how close new developments are to the #Minnekhada #ForestFire, #Coquitlam #BC - the fire in a regional #park popular locals. There are also older homes near the fire.2:30p PT  #ShareYourWeather #BCwildfire #Vancouver #BCdrought #BCdry @weathernetwork",Ryan Voutilainen 🇨🇦🇫🇮,"Oct 2, 2022 · 9:34 PM UTC",False,0,6,0,6,,https://video.twimg.com/ext_tw_video/1576686987092033536/pu/vid/1280x720/lnpG-IPirj52VFh6.mp4?tag=12,,#forestfire
https://twitter.com/RyanVoutilainen/status/1576682792078884865#m,Helicopter dropping water on the #Minnekhada #ForestFire in #Coquitlam #BC (40km/25mi NE of #Vancouver) as they use water from nearby Pitt Lake. Thankfully winds are fairly light tho temp sitting well-above normal at 26°C/79°F (normal is 16°C/60°F)  #ShareYourWeather #BCwildfire,Ryan Voutilainen 🇨🇦🇫🇮,"Oct 2, 2022 · 9:17 PM UTC",False,9,25,6,58,,https://video.twimg.com/ext_tw_video/1576682741676244993/pu/vid/1280x720/3uyRotvm-eEY8WB0.mp4?tag=12,,#forestfire
https://twitter.com/RyanVoutilainen/status/1576678976961269760#m,"A closer look at the #Minnekhada #forestfire in #Coquitlam #BC suburb of #Vancouver - To add most of our ~110mm we’ve had since June 1st was during the first 2wks, with little since. Meanwhile, not built up there are homes nearby. 🌲🔥  #ShareYourWeather #BCdrought #BCwildfire",Ryan Voutilainen 🇨🇦🇫🇮,"Oct 2, 2022 · 9:02 PM UTC",False,1,3,1,20,,https://video.twimg.com/ext_tw_video/1576678625927385089/pu/vid/1280x720/6nstgswvqiPGQ74p.mp4?tag=12,,#forestfire
https://twitter.com/trevorjheide/status/1576424207864692736#m,#Minnekhada Regional Park #Coquitlam #wildfire #forestfire,T Heide,"Oct 2, 2022 · 4:09 AM UTC",False,0,2,0,7,,https://video.twimg.com/ext_tw_video/1576424142127378433/pu/vid/1280x720/p1EFh3npT0LWuSh5.mp4?tag=12,,#forestfire
https://twitter.com/swphotoandart/status/1569912793448718336#m,"Strange to think that natural disasters can inspire art, or at least some awesome pictures #bigbear #bigbearlake #forestfire #art #wallart #photography #digitalart #wallhanging #artforsale #prints #photooftheday #california #artwork #artoftheday",Southwest Photo and Art,"Sep 14, 2022 · 4:55 AM UTC",False,0,0,0,1,https://pbs.twimg.com/media/FclzXBLagAAb_O0.jpg,,,#forestfire
https://twitter.com/escthemidwest/status/1569171667255177217#m,Wildfire 🔥 - - - #washington #washingtonstate #wenatchee #lakewenatchee #lakewenatcheestatepark #forest #forestfire #leavenworthwashington #leavenworth #wildfires #wildfire #fire #wilderness @ Lake Wenatchee https://www.instagram.com/p/CiZGg9wrjoQ/?igshid=YTgzYjQ4ZTY=,Escaping the Midwest,"Sep 12, 2022 · 3:50 AM UTC",False,0,0,0,0,,,,#forestfire
https://twitter.com/queergranddad/status/1569144531869736960#m,"Smokey sky sunset over Mt. Boucherie    #sunset #smokeysky #kelowna #westkelowna #kelownanow #mtboucherie #forestfire #okanagan #okanaganlife #smokanagan @ Kelowna, British Columbia https://www.instagram.com/p/CiY6LLQr0bs/?igshid=YTgzYjQ4ZTY=",Wilbur Turner 🇨🇦🏳️‍🌈🏳️‍⚧️,"Sep 12, 2022 · 2:03 AM UTC",False,0,0,0,0,,,,#forestfire
https://twitter.com/tfmpoc/status/1568783534835515392#m,"Yes. It’s forest fire season in Oregon. #oregon #forestfire @ Aloha, Oregon https://www.instagram.com/p/CiWWAy7L11h/?igshid=YTgzYjQ4ZTY=",to'c,"Sep 11, 2022 · 2:08 AM UTC",False,0,0,0,0,,,,#forestfire
https://twitter.com/Idaho_Ryan/status/1568470585889415174#m,"Good night (creepy, smoky) moon. #forestfire #smoke #idahome @ Boise, Idaho https://www.instagram.com/p/CiUHsvfOq0D/?igshid=YTgzYjQ4ZTY=",Ryan Hill,"Sep 10, 2022 · 5:25 AM UTC",False,0,0,0,0,,,,#forestfire
https://twitter.com/mthompsonator/status/1562931126456713216#m,Here we go again! #cawx #fire #forestfire #glendora #glendoramountainroad #wildfire #angelescrest @ Glendora Mountain Road https://www.instagram.com/p/ChswpXNPJc4/?igshid=YTgzYjQ4ZTY=,Maria Thompson,"Aug 25, 2022 · 10:33 PM UTC",False,0,0,0,0,,,,#forestfire
